muestra,t,M 5A,DUT 30A,
21,10690,68.596,345.300,
22,11223,66.578,345.939,
23,11755,71.709,341.285,
24,12289,67.210,351.365,
25,12820,70.151,354.839,
26,13353,67.880,348.127,
27,13885,70.468,199.882,
28,14418,63.917,139.793,
29,14950,71.775,139.375,
30,15488,65.937,137.617,
31,16021,71.202,131.763,
muestra,t,M 5A,DUT 30A,
2,538,72.431,128.332,
3,1069,69.917,143.418,
4,1601,68.277,236.628,
5,2132,66.583,234.861,
6,2664,67.232,239.511,
7,3196,74.483,506.940,
8,3729,71.881,505.391,
9,4260,68.683,582.010,
10,4794,70.541,613.667,
11,5324,71.880,669.557,
12,5858,69.809,339.653,
13,6389,67.049,343.016,
14,6924,67.866,320.268,
15,7455,66.894,343.366,
16,7987,69.864,342.066,
17,8519,70.031,340.913,
18,9052,68.060,333.696,
19,9587,70.505,353.411,
20,10120,68.613,355.606,
21,10652,68.533,342.166,
22,11185,67.407,345.539,
23,11716,69.212,330.061,
24,12250,70.970,356.781,
25,12781,73.630,341.190,
26,13315,69.212,343.784,
27,13846,69.468,208.502,
28,14379,71.815,130.873,
29,14911,68.178,138.455,
30,15443,67.843,135.359,
31,15974,67.060,135.245,
muestra,t,M 5A,DUT 30A,
2,539,67.519,138.379,
3,1071,68.381,148.259,
4,1609,67.195,228.918,
5,2140,68.691,225.502,
6,2671,63.043,229.454,
7,3205,71.002,480.434,
8,3754,69.076,494.682,
9,4285,63.651,584.870,
10,4817,70.926,608.080,
11,5349,68.768,635.012,
12,5880,69.406,355.445,
13,6412,70.372,336.348,
14,6945,63.849,336.813,
15,7476,68.754,338.793,
16,8008,65.723,345.764,
17,8540,68.175,352.552,
18,9072,69.032,346.929,
19,9604,70.064,346.240,
20,10136,66.937,342.598,
21,10668,64.340,360.602,
22,11198,66.506,350.696,
23,11731,67.780,332.152,
24,12261,61.924,346.655,
25,12794,68.193,353.503,
26,13325,62.427,348.999,
27,13862,71.052,214.293,
28,14392,69.951,142.530,
29,14925,70.226,141.775,
30,15456,69.196,135.509,
31,15991,68.395,140.623,
muestra,t,M 5A,DUT 30A,
2,540,66.844,139.788,
3,1070,68.336,148.697,
4,1637,66.152,236.493,
5,2168,66.558,231.724,
6,2700,70.063,262.609,
7,3232,71.693,504.772,
8,3764,64.142,520.004,
9,4295,67.525,579.635,
10,4828,67.104,625.909,
11,5359,62.599,553.581,
12,5892,66.334,330.251,
13,6423,64.557,324.052,
14,6957,71.764,329.222,
15,7488,68.256,343.243,
16,8026,65.993,348.719,
17,8558,67.210,340.483,
18,9090,64.071,353.623,
19,9623,68.625,349.927,
20,10155,67.453,342.756,
21,10686,64.553,352.505,
22,11219,68.121,345.335,
23,11752,69.498,346.197,
24,12284,70.172,344.294,
25,12816,64.409,353.513,
26,13347,68.162,342.908,
27,13879,66.045,217.045,
28,14411,71.297,141.108,
29,14943,65.505,144.667,
30,15476,71.317,142.872,
31,16007,67.589,143.399,
muestra,t,M 5A,DUT 30A,
2,539,66.233,136.371,
3,1070,69.848,156.687,
4,1608,69.885,223.082,
5,2139,68.672,232.795,
6,2673,63.539,251.634,
7,3203,62.580,490.134,
8,3736,71.658,519.506,
9,4266,68.087,588.998,
10,4799,70.505,635.785,
11,5329,66.617,647.178,
12,5862,70.699,334.978,
13,6393,68.245,328.598,
14,6927,68.933,332.643,
15,7458,66.450,349.914,
16,7991,67.365,346.357,
17,8523,65.195,362.934,
18,9057,69.555,342.797,
19,9588,66.158,343.953,
20,10120,69.412,339.476,
21,10652,64.514,359.233,
22,11185,66.066,354.250,
23,11716,67.263,341.746,
24,12254,66.947,354.545,
25,12786,67.679,347.810,
26,13318,67.234,339.220,
27,13850,67.960,180.554,
28,14382,69.693,141.384,
29,14915,72.270,135.565,
30,15445,65.646,140.038,
31,15979,72.708,140.113,
muestra,t,M 5A,DUT 30A,
2,538,69.973,140.364,
3,1069,68.457,148.259,
4,1603,68.569,237.506,
5,2134,67.517,242.213,
6,2669,64.762,260.553,
7,3200,71.978,500.601,
8,3734,70.193,511.483,
9,4264,67.341,599.187,
10,4797,67.253,624.753,
11,5329,69.038,638.623,
12,5862,63.131,344.983,
13,6398,66.171,335.231,
14,6932,68.824,336.600,
15,7463,63.260,334.350,
16,7997,67.817,342.845,
17,8529,65.025,354.323,
18,9062,68.639,349.331,
19,9593,67.985,355.867,
20,10161,66.542,353.918,
21,10692,69.312,352.234,
22,11224,66.722,348.138,
23,11757,67.510,343.063,
24,12289,66.940,343.270,
25,12820,65.188,343.688,
26,13354,67.678,343.972,
27,13886,71.454,208.674,
28,14419,68.164,145.790,
29,14950,71.455,140.530,
30,15483,64.517,140.504,
31,16014,64.652,138.031,
muestra,t,M 5A,DUT 30A,
2,539,71.297,137.806,
3,1072,67.215,145.959,
4,1607,65.078,242.105,
5,2137,63.649,234.526,
6,2670,62.863,242.065,
7,3201,67.849,491.460,
8,3733,70.825,503.175,
9,4265,69.115,567.558,
10,4796,68.564,624.132,
11,5327,66.431,659.463,
12,5859,67.952,328.975,
13,6392,66.846,320.225,
14,6924,69.458,340.244,
15,7457,63.791,332.663,
16,7988,69.943,345.118,
17,8522,68.106,348.641,
18,9053,66.176,353.152,
19,9585,66.523,352.539,
20,10117,65.570,351.356,
21,10654,66.440,348.977,
22,11187,67.344,353.254,
23,11718,65.541,351.811,
24,12251,66.946,353.983,
25,12782,68.673,354.619,
26,13315,69.910,342.184,
27,13845,71.244,228.353,
28,14378,69.442,143.626,
29,14908,66.167,134.380,
30,15441,67.175,137.167,
31,15971,66.376,138.822,
muestra,t,M 5A,DUT 30A,
2,537,70.638,135.101,
3,1070,69.536,155.680,
4,1600,66.755,218.901,
5,2133,66.697,224.202,
6,2663,64.421,224.405,
7,3196,65.602,490.510,
8,3727,64.879,502.344,
9,4260,65.501,572.799,
10,4810,66.958,619.863,
11,5342,69.016,658.277,
12,5874,67.368,341.113,
13,6407,66.417,337.201,
14,6939,70.396,345.077,
15,7472,62.877,343.621,
16,8004,68.686,345.520,
17,8537,68.859,341.278,
18,9069,65.828,349.438,
19,9601,69.601,349.308,
20,10133,67.097,359.584,
21,10666,66.604,339.659,
22,11197,64.297,351.105,
23,11730,70.567,356.224,
24,12262,66.451,349.401,
25,12795,68.520,349.513,
26,13326,65.013,359.015,
27,13858,67.956,211.751,
28,14389,70.106,143.626,
29,14927,66.554,141.821,
30,15457,62.213,136.084,
31,15991,66.711,142.875,
muestra,t,M 5A,DUT 30A,
2,538,69.859,136.548,
3,1070,66.619,151.020,
4,1629,69.938,222.361,
5,2159,69.132,217.005,
6,2692,70.661,239.563,
7,3222,65.311,489.991,
8,3757,63.765,488.026,
9,4287,68.449,575.841,
10,4819,68.146,623.902,
11,5352,67.642,666.476,
12,5885,70.176,375.578,
13,6417,68.249,347.491,
14,6949,65.810,332.878,
15,7480,71.646,332.073,
16,8014,64.207,348.996,
17,8546,71.472,334.237,
18,9083,71.834,335.633,
19,9616,70.326,346.976,
20,10147,72.740,349.606,
21,10680,72.288,346.645,
22,11212,69.794,350.103,
23,11744,70.536,349.429,
24,12276,69.979,354.010,
25,12808,70.124,345.288,
26,13338,66.623,343.715,
27,13871,68.276,170.079,
28,14402,66.943,141.660,
29,14935,69.279,138.290,
30,15467,71.158,141.567,
31,16000,67.010,136.084,
muestra,t,M 5A,DUT 30A,
2,540,67.564,137.180,
3,1070,70.375,154.037,
4,1604,69.111,216.555,
5,2135,70.661,225.692,
6,2673,66.613,219.331,
7,3202,67.361,494.774,
8,3736,66.205,499.590,
9,4267,73.494,574.073,
10,4801,70.381,619.273,
11,5332,70.981,667.650,
12,5865,66.469,365.445,
13,6395,65.770,344.000,
14,6928,66.342,338.211,
15,7460,66.335,341.832,
16,7993,69.639,341.733,
17,8525,68.572,343.792,
18,9057,65.998,353.466,
19,9589,68.306,351.523,
20,10121,64.588,355.390,
21,10652,66.829,350.212,
22,11185,65.472,349.317,
23,11716,66.967,365.409,
24,12249,69.071,343.678,
25,12780,66.436,348.457,
26,13317,67.447,341.937,
27,13849,68.681,220.845,
28,14380,69.537,140.643,
29,14913,67.269,143.441,
30,15444,67.372,142.486,
31,15978,67.206,142.050,
muestra,t,M 5A,DUT 30A,
2,538,66.375,141.775,
3,1069,69.059,152.355,
4,1605,67.204,220.780,
5,2135,71.016,220.397,
6,2667,69.027,216.880,
7,3198,67.016,473.221,
8,3729,67.167,540.081,
9,4260,70.042,561.515,
10,4794,71.147,622.938,
11,5326,67.305,660.695,
12,5857,67.096,385.174,
13,6389,67.703,340.244,
14,6922,67.727,331.850,
15,7458,62.175,340.292,
16,7991,70.232,342.750,
17,8522,67.397,350.181,
18,9055,66.538,354.747,
19,9586,66.034,355.225,
20,10210,67.640,368.194,
21,10743,67.560,365.633,
22,11277,66.828,347.997,
23,11808,66.717,361.308,
24,12355,66.038,358.370,
25,12885,64.328,343.593,
26,13419,66.791,362.442,
27,13949,65.620,213.622,
28,14482,71.102,138.869,
29,15012,73.239,134.113,
30,15547,66.594,141.545,
31,16078,67.422,141.452,
muestra,t,M 5A,DUT 30A,
2,537,69.049,137.559,
3,1074,64.665,152.397,
4,1607,67.396,213.922,
5,2139,63.610,226.345,
6,2671,67.399,220.323,
7,3204,65.194,490.996,
8,3736,67.681,527.053,
9,4267,67.426,596.496,
10,4799,65.535,633.310,
11,5330,68.860,577.945,
12,5862,65.160,334.812,
13,6394,69.058,314.611,
14,6925,69.114,327.344,
15,7457,67.588,351.300,
16,7989,68.359,345.297,
17,8522,67.320,345.529,
18,9054,68.233,355.234,
19,9585,69.092,336.154,
20,10118,65.788,343.136,
21,10649,67.758,366.861,
22,11182,69.709,343.298,
23,11717,67.516,370.234,
24,12251,67.442,341.675,
25,12784,65.156,352.895,
26,13317,66.056,367.989,
27,13848,70.888,222.439,
28,14381,69.536,140.596,
29,14913,70.301,147.356,
30,15446,66.596,142.051,
31,15976,72.462,144.442,
muestra,t,M 5A,DUT 30A,
2,538,68.934,138.900,
3,1070,71.448,155.952,
4,1601,72.241,226.517,
5,2132,66.242,236.107,
6,2664,66.503,235.138,
7,3197,65.462,490.623,
8,3729,66.094,508.681,
9,4261,67.502,578.037,
10,4792,67.212,618.546,
11,5326,64.549,654.301,
12,5875,65.094,343.118,
13,6408,68.145,328.590,
14,6939,65.989,339.111,
15,7471,68.171,336.436,
16,8003,68.473,338.890,
17,8534,64.984,353.918,
18,9066,69.084,352.681,
19,9597,65.401,348.382,
20,10130,65.485,341.985,
21,10660,66.442,352.783,
22,11192,61.638,345.388,
23,11738,65.953,348.044,
24,12281,66.507,350.250,
25,12824,67.342,344.597,
26,13367,67.524,348.828,
27,13905,69.861,213.652,
28,14439,70.810,135.646,
29,14970,66.305,146.759,
30,15504,61.836,138.838,
31,16039,68.768,137.120,
muestra,t,M 5A,DUT 30A,
2,539,68.171,130.967,
3,1071,66.814,149.575,
4,1638,68.505,218.574,
5,2168,72.103,222.342,
6,2701,70.213,224.725,
7,3231,69.966,483.627,
8,3766,67.137,510.056,
9,4296,65.879,596.232,
10,4830,68.495,621.213,
11,5361,69.097,644.405,
12,5894,66.496,347.857,
13,6425,65.303,352.921,
14,6958,67.632,348.464,
15,7489,68.052,336.755,
16,8022,66.762,343.328,
17,8553,64.756,347.078,
18,9086,69.646,343.262,
19,9618,69.286,342.740,
20,10155,67.275,341.037,
21,10688,63.836,349.731,
22,11220,65.084,343.215,
23,11752,66.257,348.737,
24,12284,67.518,355.160,
25,12818,71.618,342.170,
26,13349,65.118,350.661,
27,13882,67.396,189.642,
28,14413,67.964,141.982,
29,14946,71.564,134.546,
30,15477,63.666,135.239,
31,16010,68.119,135.052,
muestra,t,M 5A,DUT 30A,
2,540,66.888,137.570,
3,1073,66.768,149.982,
4,1608,65.175,213.651,
5,2137,69.759,224.825,
6,2671,67.541,214.936,
7,3202,68.525,500.637,
8,3740,67.777,501.955,
9,4270,69.172,585.338,
10,4805,67.715,618.872,
11,5335,68.580,616.211,
12,5868,67.035,330.583,
13,6400,70.486,315.393,
14,6933,68.504,338.653,
15,7464,68.709,334.218,
16,7996,66.180,351.272,
17,8528,72.080,337.180,
18,9061,66.450,356.485,
19,9593,66.575,350.568,
20,10126,65.656,349.015,
21,10657,67.361,357.495,
22,11190,69.121,353.891,
23,11722,65.859,347.032,
24,12254,66.832,363.512,
25,12785,64.916,349.504,
26,13318,67.345,348.567,
27,13850,67.031,270.225,
28,14387,67.969,140.785,
29,14920,65.558,136.789,
30,15450,67.129,144.080,
31,15985,67.746,137.003,
muestra,t,M 5A,DUT 30A,
2,539,72.080,135.221,
3,1071,71.879,150.610,
4,1604,68.048,217.858,
5,2136,69.979,226.076,
6,2669,65.935,224.202,
7,3201,68.260,502.103,
8,3733,68.061,527.605,
9,4263,68.057,586.151,
10,4796,65.066,630.170,
11,5327,64.294,666.305,
12,5859,67.964,344.985,
13,6390,65.669,331.109,
14,6923,69.435,327.269,
15,7454,66.092,342.394,
16,7986,66.987,347.145,
17,8523,69.355,342.740,
18,9057,67.000,351.411,
19,9588,65.056,345.218,
20,10153,69.803,352.431,
21,10684,66.081,362.862,
22,11216,68.589,350.156,
23,11747,66.371,322.981,
24,12280,66.873,345.548,
25,12813,69.015,356.827,
26,13346,72.597,339.735,
27,13878,71.955,187.434,
28,14411,66.068,143.077,
29,14944,71.188,136.600,
30,15476,70.115,140.805,
31,16008,69.485,137.405,
muestra,t,M 5A,DUT 30A,
2,536,68.029,142.005,
3,1070,67.380,149.637,
4,1601,70.442,218.365,
5,2138,65.515,224.100,
6,2671,69.985,217.502,
7,3203,66.575,485.942,
8,3735,68.029,504.340,
9,4268,67.453,571.307,
10,4800,68.280,604.096,
11,5332,66.427,660.261,
12,5864,68.884,396.072,
13,6395,67.226,340.550,
14,6929,69.976,334.963,
15,7459,67.017,339.332,
16,7992,68.333,351.040,
17,8523,71.408,342.778,
18,9055,67.884,340.704,
19,9586,63.419,354.093,
20,10120,69.347,345.755,
21,10650,64.155,350.249,
22,11184,67.296,338.446,
23,11717,65.753,337.607,
24,12249,65.809,339.382,
25,12786,69.976,354.610,
26,13321,65.591,333.696,
27,13851,67.784,205.041,
28,14383,66.943,143.327,
29,14915,66.659,139.041,
30,15449,67.545,142.278,
31,15981,69.102,133.233,

